# REV = 1

# PAC CONTROL TAG DATABASE DUMP
# ----------------------------------------------------------------
# NAME :         C:\Users\eng\Desktop\aqwaPac WER\BPLaqwaNew.idb
# VERSION :      R9.1a
# TIME/DATE :    0:22:9 2/29/2012
# 
# INSTRUCTIONS : This file gets written with the corresponding IDB file.
#                It is not read by PAC Control. It may be used by other programs to 
#                get basic information about the tag database.
#                
#                Each tag (e.g. variables, I/O units and points, charts, etc.) is 
#                listed here. 
#                
#                More columns or tag types (e.g. TAG2) may be added in the future.
#                
#                
# BITMASK INFO:  Here is the list of bitmasks used by PAC Control.
#                More than one bit may be set for a given tag. Currently, the only types
#                that can have more than one bit set at a time are digital points with 
#                features (e.g. digital input with counter) or a pointer.
#                
#                BITMASK 0
#                -------------------------------------------
#                DIN_SMART                        0x40000000
#                DIN_COUNTER                      0x00000001
#                DIN_COUNTER_QUADRATURE           0x00000002
#                DOUT_SMART                       0x10000000
#                DOUT_TPO                         0x00010000
#                DIN_ON_PULSE_MEAS                0x00000010
#                DIN_OFF_PULSE_MEAS               0x00000020
#                DIN_FREQUENCY                    0x00000040
#                DIN_PERIOD                       0x00000080
#                DIN_ON_TIME_TOTALIZER            0x00000100
#                DIN_OFF_TIME_TOTALIZER           0x00000200
#                
#                BITMASK 1
#                -------------------------------------------
#                AIN                              0x00000001
#                AOUT                             0x00000002
#                PID_LOOP    (mistic)             0x00000200
#                PID_LOOP_2  (OptoMMP)            0x00000004
#                DIGITAL_EVENT_REACTION           0x00000008
#                ANALOG_EVENT_REACTION            0x00000010
#                EVENT_REACTION_GROUP             0x00000080
#                CHART                            0x00000100
#                
#                BITMASK 2
#                -------------------------------------------
#                BOARD_SMART_DIGITAL              0x00000002
#                BOARD_REMOTE_SIMPLE_DIGITAL      0x00000004
#                BOARD_SMART_ANALOG               0x00000008
#                BOARD_SMART_ANALOG_B200          0x00001000
#                BOARD_SMART_DIGITAL_SNAP         0x00002000
#                BOARD_SMART_ANALOG_SNAP          0x00004000
#                BOARD_SMART_DIGITAL_B100         0X00010000
#                BOARD_REMOTE_SIMPLE_DIGITAL_SNAP 0X00020000
#                BOARD_DIGITAL_SNAP_64            0x00040000
#                BOARD_MIXED_SNAP_64              0x00080000
#                BOARD_DIGITAL_SNAP_UIO_64        0x00100000
#                BOARD_MIXED_SNAP_UIO_64          0x00200000
#                BOARD_MIXED_SNAP_UIO_AD64        0x00400000
#                BOARD_MIXED_SNAP_SIO_AD64        0x00800000
#                BOARD_SNAP_PAC_R1                0x10000000
#                BOARD_SNAP_PAC_R2                0x20000000
#                BOARD_GENERIC_OPTOMMP            0x40000000
# 
#                BITMASK 3
#                -------------------------------------------
#                VARIABLE_INTEGER                 0x00000008
#                VARIABLE_FLOAT                   0x00000010
#                VARIABLE_TIMER                   0x00000020
#                VARIABLE_STRING                  0x00000040
#                VARIABLE_POINTER                 0x80000000
#                TABLE_INTEGER                    0x00000100
#                TABLE_FLOAT                      0x00000200
#                TABLE_STRING                     0x00000800
#                TABLE_POINTER                    0x00001000
#                VARIABLE_UP_TIMER                0X00002000
#                VARIABLE_INTEGER_64              0X00004000
#                TABLE_INTEGER_64                 0X00010000
#                TABLE_NULL                       0X00020000
#                VARIABLE_STREAM                  0x00040000




#  (Please note that the TAG1 definition may have columns added in the future.
#   Any new columns will be added to the right of the existing ones.)
#   This file should be parsed accordingly.)

# TAG1,NAME,ID,BITMASK_0,BITMASK_1,BITMASK_2,BITMASK_3,TABLE_LENGTH,STRING_WIDTH

TAG1,Control_command_comms                             ,1    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Heart_Monitor                                     ,19   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Manual_auto                                       ,3    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Master_comms                                      ,7    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Pendant_manual                                    ,5    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Pole                                              ,11   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Powerup                                           ,0    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,SYSTEM_READY                                      ,17   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Tail                                              ,13   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,encPacInternal                                    ,1    ,00000000,00000000,20000000,00000000,0    ,0   
TAG1,CABINET_DOOR_CLOSED                               ,75   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,COOLANT_AUTO                                      ,43   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,COOLANT_RELAY_OUT                                 ,68   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,COOLANT_STOP                                      ,44   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,ESTOP_OK_TO_RUN                                   ,62   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,ETH_SWITCH                                        ,37   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,FANS_AUTO                                         ,45   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,FANS_RELAY_OUT                                    ,69   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,FANS_STOP                                         ,46   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,FenceSecure                                       ,36   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,GO_FAST_BUTTON                                    ,12   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,GO_FAST_PB_MONITOR                                ,57   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,LEFT_DOOR                                         ,11   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,LEFT_STORM_LOCK                                   ,30   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,LIGHTS_ENTER                                      ,41   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,LIGHTS_EXIT                                       ,42   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,LIGHTS_RELAY_OUT                                  ,67   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,OPERATE_AUTO                                      ,53   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,OPERATE_DISABLE                                   ,54   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,OUTPUT_GO_FAST                                    ,72   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,OUTSIDE_LED_GREEN                                 ,65   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,OUTSIDE_LED_RED                                   ,66   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,OVR1                                              ,32   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,OVR2                                              ,33   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,OVR3                                              ,34   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,OVR4                                              ,35   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,PADDLE_IN_PLACE                                   ,15   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,PANEL_BLUE_LED                                    ,70   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,PANEL_LED_GREEN                                   ,63   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,PANEL_LED_RED                                     ,64   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,PENDANT_CLOSE                                     ,61   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,PENDANT_IS_STOWED                                 ,59   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,PENDANT_OPEN                                      ,60   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,POLE_CAN_GO_FAST                                  ,49   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,POLE_DIR                                          ,1    ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,POLE_ENABLE                                       ,0    ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,POLE_GO_FAST                                      ,3    ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,POLE_OPEN_NOT_REACHED                             ,47   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,POLE_SIDE_CLOSED                                  ,48   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,POLE_SIDE_SELECT                                  ,55   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,POLE_STOP                                         ,2    ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,q1                                                ,76   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q11                                               ,83   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q12                                               ,84   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q13                                               ,85   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q14                                               ,86   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q15                                               ,87   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q2                                                ,77   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q3                                                ,78   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q4                                                ,79   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q6                                                ,80   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q7                                                ,81   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,q8                                                ,82   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,RESET_BUTTON                                      ,14   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,RESET_PB_MONITOR                                  ,58   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,RESET_RELAY                                       ,71   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,RIGHT_DOOR                                        ,10   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,RIGHT_STORM_LOCK                                  ,38   ,40000000,00000000,00000000,00000000,0    ,0   
