# REV = 1

# PAC CONTROL TAG DATABASE DUMP
# ----------------------------------------------------------------
# NAME :         C:\Users\jdevera\Desktop\PAC Programs\aqPAC\trunk\aqPAC.idb
# VERSION :      R9.5a
# TIME/DATE :    16:25:9 3/15/2018
# 
# INSTRUCTIONS : This file gets written with the corresponding IDB file.
#                It is not read by PAC Control. It may be used by other programs to 
#                get basic information about the tag database.
#                
#                Each tag (e.g. variables, I/O units and points, charts, etc.) is 
#                listed here. 
#                
#                More columns or tag types (e.g. TAG2) may be added in the future.
#                
#                
# BITMASK INFO:  Here is the list of bitmasks used by PAC Control.
#                More than one bit may be set for a given tag. Currently, the only types
#                that can have more than one bit set at a time are digital points with 
#                features (e.g. digital input with counter) or a pointer.
#                
#                BITMASK 0
#                -------------------------------------------
#                DIN_SMART                        0x40000000
#                DIN_COUNTER                      0x00000001
#                DIN_COUNTER_QUADRATURE           0x00000002
#                DOUT_SMART                       0x10000000
#                DOUT_TPO                         0x00010000
#                DIN_ON_PULSE_MEAS                0x00000010
#                DIN_OFF_PULSE_MEAS               0x00000020
#                DIN_FREQUENCY                    0x00000040
#                DIN_PERIOD                       0x00000080
#                DIN_ON_TIME_TOTALIZER            0x00000100
#                DIN_OFF_TIME_TOTALIZER           0x00000200
#                
#                BITMASK 1
#                -------------------------------------------
#                AIN                              0x00000001
#                AOUT                             0x00000002
#                PID_LOOP    (mistic)             0x00000200
#                PID_LOOP_2  (OptoMMP)            0x00000004
#                DIGITAL_EVENT_REACTION           0x00000008
#                ANALOG_EVENT_REACTION            0x00000010
#                EVENT_REACTION_GROUP             0x00000080
#                CHART                            0x00000100
#                
#                BITMASK 2
#                -------------------------------------------
#                BOARD_SMART_DIGITAL              0x00000002
#                BOARD_REMOTE_SIMPLE_DIGITAL      0x00000004
#                BOARD_SMART_ANALOG               0x00000008
#                BOARD_SMART_ANALOG_B200          0x00001000
#                BOARD_SMART_DIGITAL_SNAP         0x00002000
#                BOARD_SMART_ANALOG_SNAP          0x00004000
#                BOARD_SMART_DIGITAL_B100         0X00010000
#                BOARD_REMOTE_SIMPLE_DIGITAL_SNAP 0X00020000
#                BOARD_DIGITAL_SNAP_64            0x00040000
#                BOARD_MIXED_SNAP_64              0x00080000
#                BOARD_DIGITAL_SNAP_UIO_64        0x00100000
#                BOARD_MIXED_SNAP_UIO_64          0x00200000
#                BOARD_MIXED_SNAP_UIO_AD64        0x00400000
#                BOARD_MIXED_SNAP_SIO_AD64        0x00800000
#                BOARD_SNAP_PAC_R1                0x10000000
#                BOARD_SNAP_PAC_R2                0x20000000
#                BOARD_GENERIC_OPTOMMP            0x40000000
# 
#                BITMASK 3
#                -------------------------------------------
#                VARIABLE_INTEGER                 0x00000008
#                VARIABLE_FLOAT                   0x00000010
#                VARIABLE_TIMER                   0x00000020
#                VARIABLE_STRING                  0x00000040
#                VARIABLE_POINTER                 0x80000000
#                TABLE_INTEGER                    0x00000100
#                TABLE_FLOAT                      0x00000200
#                TABLE_STRING                     0x00000800
#                TABLE_POINTER                    0x00001000
#                VARIABLE_UP_TIMER                0X00002000
#                VARIABLE_INTEGER_64              0X00004000
#                TABLE_INTEGER_64                 0X00010000
#                TABLE_NULL                       0X00020000
#                VARIABLE_STREAM                  0x00040000




#  (Please note that the TAG1 definition may have columns added in the future.
#   Any new columns will be added to the right of the existing ones.)
#   This file should be parsed accordingly.)

# TAG1,NAME,ID,BITMASK_0,BITMASK_1,BITMASK_2,BITMASK_3,TABLE_LENGTH,STRING_WIDTH

TAG1,AutoLightsOff                                     ,36   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Blink                                             ,35   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Close_Sequential                                  ,27   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Encl_Comm                                         ,21   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Get_Mirror_Temps                                  ,37   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Heart_Monitor                                     ,19   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Manual_auto                                       ,3    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Mute_Test_LED                                     ,29   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Pendant_manual                                    ,5    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Pole_Close                                        ,23   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Pole_Open                                         ,22   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Powerup                                           ,0    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,SYSTEM_READY                                      ,17   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Tail_Close                                        ,24   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Tail_Open                                         ,25   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,TestEnclFans                                      ,32   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,TestErrors                                        ,33   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,TestFaults                                        ,34   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,TestPanelFans                                     ,31   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,encPacInternal                                    ,2    ,00000000,00000000,20000000,00000000,0    ,0   
TAG1,DI_24vCtrl_MCB                                    ,84   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_24vPSU_OK                                      ,87   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_CabinetDoor_LS                                 ,75   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_DUPS_TVS                                       ,34   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_Enet_OK                                        ,37   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_ESTOP_OK                                       ,62   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_FanAuto_SW                                     ,45   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_FanStop_SW                                     ,46   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_FenceClosed_SEN                                ,36   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_FUPS_TVS                                       ,33   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_GoFast_SW                                      ,12   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_LeftDoor_LS                                    ,11   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_LeftStormLock_LS                               ,30   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_Lights_Enter_SW                                ,41   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_Lights_Exit_SW                                 ,42   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_MuteTest_SW                                    ,90   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_OTA_BlowerAuto_SW                              ,43   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_OTA_BlowerStop_SW                              ,44   ,40000000,00000000,00000000,00000000,0    ,0   
