# REV = 1

# PAC CONTROL TAG DATABASE DUMP
# ----------------------------------------------------------------
# NAME :         C:\Users\jdevera\Desktop\PAC Programs\fpac\trunk\1mFPAC.idb
# VERSION :      R9.5a
# TIME/DATE :    20:47:40 12/6/2018
# 
# INSTRUCTIONS : This file gets written with the corresponding IDB file.
#                It is not read by PAC Control. It may be used by other programs to 
#                get basic information about the tag database.
#                
#                Each tag (e.g. variables, I/O units and points, charts, etc.) is 
#                listed here. 
#                
#                More columns or tag types (e.g. TAG2) may be added in the future.
#                
#                
# BITMASK INFO:  Here is the list of bitmasks used by PAC Control.
#                More than one bit may be set for a given tag. Currently, the only types
#                that can have more than one bit set at a time are digital points with 
#                features (e.g. digital input with counter) or a pointer.
#                
#                BITMASK 0
#                -------------------------------------------
#                DIN_SMART                        0x40000000
#                DIN_COUNTER                      0x00000001
#                DIN_COUNTER_QUADRATURE           0x00000002
#                DOUT_SMART                       0x10000000
#                DOUT_TPO                         0x00010000
#                DIN_ON_PULSE_MEAS                0x00000010
#                DIN_OFF_PULSE_MEAS               0x00000020
#                DIN_FREQUENCY                    0x00000040
#                DIN_PERIOD                       0x00000080
#                DIN_ON_TIME_TOTALIZER            0x00000100
#                DIN_OFF_TIME_TOTALIZER           0x00000200
#                
#                BITMASK 1
#                -------------------------------------------
#                AIN                              0x00000001
#                AOUT                             0x00000002
#                PID_LOOP    (mistic)             0x00000200
#                PID_LOOP_2  (OptoMMP)            0x00000004
#                DIGITAL_EVENT_REACTION           0x00000008
#                ANALOG_EVENT_REACTION            0x00000010
#                EVENT_REACTION_GROUP             0x00000080
#                CHART                            0x00000100
#                
#                BITMASK 2
#                -------------------------------------------
#                BOARD_SMART_DIGITAL              0x00000002
#                BOARD_REMOTE_SIMPLE_DIGITAL      0x00000004
#                BOARD_SMART_ANALOG               0x00000008
#                BOARD_SMART_ANALOG_B200          0x00001000
#                BOARD_SMART_DIGITAL_SNAP         0x00002000
#                BOARD_SMART_ANALOG_SNAP          0x00004000
#                BOARD_SMART_DIGITAL_B100         0X00010000
#                BOARD_REMOTE_SIMPLE_DIGITAL_SNAP 0X00020000
#                BOARD_DIGITAL_SNAP_64            0x00040000
#                BOARD_MIXED_SNAP_64              0x00080000
#                BOARD_DIGITAL_SNAP_UIO_64        0x00100000
#                BOARD_MIXED_SNAP_UIO_64          0x00200000
#                BOARD_MIXED_SNAP_UIO_AD64        0x00400000
#                BOARD_MIXED_SNAP_SIO_AD64        0x00800000
#                BOARD_SNAP_PAC_R1                0x10000000
#                BOARD_SNAP_PAC_R2                0x20000000
#                BOARD_GENERIC_OPTOMMP            0x40000000
# 
#                BITMASK 3
#                -------------------------------------------
#                VARIABLE_INTEGER                 0x00000008
#                VARIABLE_FLOAT                   0x00000010
#                VARIABLE_TIMER                   0x00000020
#                VARIABLE_STRING                  0x00000040
#                VARIABLE_POINTER                 0x80000000
#                TABLE_INTEGER                    0x00000100
#                TABLE_FLOAT                      0x00000200
#                TABLE_STRING                     0x00000800
#                TABLE_POINTER                    0x00001000
#                VARIABLE_UP_TIMER                0X00002000
#                VARIABLE_INTEGER_64              0X00004000
#                TABLE_INTEGER_64                 0X00010000
#                TABLE_NULL                       0X00020000
#                VARIABLE_STREAM                  0x00040000




#  (Please note that the TAG1 definition may have columns added in the future.
#   Any new columns will be added to the right of the existing ones.)
#   This file should be parsed accordingly.)

# TAG1,NAME,ID,BITMASK_0,BITMASK_1,BITMASK_2,BITMASK_3,TABLE_LENGTH,STRING_WIDTH

TAG1,DomeShutter                                       ,12   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,LED_control                                       ,11   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Master_Comm                                       ,5    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Powerup                                           ,0    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Test_Front_Panel                                  ,1    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Test_HVAC                                         ,2    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,WhiteLights                                       ,3    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,A_1mFPAC                                          ,0    ,00000000,00000000,20000000,00000000,0    ,0   
TAG1,A9_2_Fault                                        ,39   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,A9_5_Fault                                        ,40   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,A_444                                             ,103  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,A_555                                             ,104  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,AZ_CONTACTORS                                     ,87   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,AZ_DISABLED                                       ,69   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,AzAvail                                           ,109  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,B32_2                                             ,36   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DoorGrnLED                                        ,90   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,DoorRedLED                                        ,89   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,DUPS_VOLTAGE                                      ,92   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,F1_1_1_Fault                                      ,1    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F1_1_2_Fault                                      ,0    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F1_1_Fault                                        ,2    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_2_CTRL                                         ,61   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_2_Status                                       ,46   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_3_CTRL                                         ,63   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_3_Status                                       ,48   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_5_CTRL                                         ,64   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_5_Status                                       ,49   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_6_CTRL                                         ,65   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_6_Status                                       ,50   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_8_CTRL                                         ,67   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,F4_8_Status                                       ,52   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F6_1_1_Fault                                      ,4    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F6_1_2_Fault                                      ,3    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,F6_1_Fault                                        ,5    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,FUSE_XT24_1                                       ,76   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,FUSE_XT24_2                                       ,77   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,FUSE_XT24_3                                       ,78   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,FUSE_XT24_4                                       ,79   ,40000000,00000000,00000000,00000000,0    ,0   
