# REV = 1

# PAC CONTROL TAG DATABASE DUMP
# ----------------------------------------------------------------
# NAME :         C:\Users\jdevera\Desktop\PAC Programs\igloo\trunk\ipac.idb
# VERSION :      R9.1a
# TIME/DATE :    22:23:28 4/8/2015
# 
# INSTRUCTIONS : This file gets written with the corresponding IDB file.
#                It is not read by PAC Control. It may be used by other programs to 
#                get basic information about the tag database.
#                
#                Each tag (e.g. variables, I/O units and points, charts, etc.) is 
#                listed here. 
#                
#                More columns or tag types (e.g. TAG2) may be added in the future.
#                
#                
# BITMASK INFO:  Here is the list of bitmasks used by PAC Control.
#                More than one bit may be set for a given tag. Currently, the only types
#                that can have more than one bit set at a time are digital points with 
#                features (e.g. digital input with counter) or a pointer.
#                
#                BITMASK 0
#                -------------------------------------------
#                DIN_SMART                        0x40000000
#                DIN_COUNTER                      0x00000001
#                DIN_COUNTER_QUADRATURE           0x00000002
#                DOUT_SMART                       0x10000000
#                DOUT_TPO                         0x00010000
#                DIN_ON_PULSE_MEAS                0x00000010
#                DIN_OFF_PULSE_MEAS               0x00000020
#                DIN_FREQUENCY                    0x00000040
#                DIN_PERIOD                       0x00000080
#                DIN_ON_TIME_TOTALIZER            0x00000100
#                DIN_OFF_TIME_TOTALIZER           0x00000200
#                
#                BITMASK 1
#                -------------------------------------------
#                AIN                              0x00000001
#                AOUT                             0x00000002
#                PID_LOOP    (mistic)             0x00000200
#                PID_LOOP_2  (OptoMMP)            0x00000004
#                DIGITAL_EVENT_REACTION           0x00000008
#                ANALOG_EVENT_REACTION            0x00000010
#                EVENT_REACTION_GROUP             0x00000080
#                CHART                            0x00000100
#                
#                BITMASK 2
#                -------------------------------------------
#                BOARD_SMART_DIGITAL              0x00000002
#                BOARD_REMOTE_SIMPLE_DIGITAL      0x00000004
#                BOARD_SMART_ANALOG               0x00000008
#                BOARD_SMART_ANALOG_B200          0x00001000
#                BOARD_SMART_DIGITAL_SNAP         0x00002000
#                BOARD_SMART_ANALOG_SNAP          0x00004000
#                BOARD_SMART_DIGITAL_B100         0X00010000
#                BOARD_REMOTE_SIMPLE_DIGITAL_SNAP 0X00020000
#                BOARD_DIGITAL_SNAP_64            0x00040000
#                BOARD_MIXED_SNAP_64              0x00080000
#                BOARD_DIGITAL_SNAP_UIO_64        0x00100000
#                BOARD_MIXED_SNAP_UIO_64          0x00200000
#                BOARD_MIXED_SNAP_UIO_AD64        0x00400000
#                BOARD_MIXED_SNAP_SIO_AD64        0x00800000
#                BOARD_SNAP_PAC_R1                0x10000000
#                BOARD_SNAP_PAC_R2                0x20000000
#                BOARD_GENERIC_OPTOMMP            0x40000000
# 
#                BITMASK 3
#                -------------------------------------------
#                VARIABLE_INTEGER                 0x00000008
#                VARIABLE_FLOAT                   0x00000010
#                VARIABLE_TIMER                   0x00000020
#                VARIABLE_STRING                  0x00000040
#                VARIABLE_POINTER                 0x80000000
#                TABLE_INTEGER                    0x00000100
#                TABLE_FLOAT                      0x00000200
#                TABLE_STRING                     0x00000800
#                TABLE_POINTER                    0x00001000
#                VARIABLE_UP_TIMER                0X00002000
#                VARIABLE_INTEGER_64              0X00004000
#                TABLE_INTEGER_64                 0X00010000
#                TABLE_NULL                       0X00020000
#                VARIABLE_STREAM                  0x00040000




#  (Please note that the TAG1 definition may have columns added in the future.
#   Any new columns will be added to the right of the existing ones.)
#   This file should be parsed accordingly.)

# TAG1,NAME,ID,BITMASK_0,BITMASK_1,BITMASK_2,BITMASK_3,TABLE_LENGTH,STRING_WIDTH

TAG1,DatatakerComm                                     ,1    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,GoogleComm                                        ,3    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Housekeeper                                       ,2    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,MasterComm                                        ,4    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Powerup                                           ,0    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,local_io                                          ,0    ,00000000,00000000,20000000,00000000,0    ,0   
TAG1,DI_AirCon_CR_NC                                   ,1    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_AirConPWR_OK                                   ,11   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_CryoTig_CR_NC                                  ,3    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_ECB_OK                                         ,16   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_ECB_Rx                                         ,21   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_EntryDoor                                      ,6    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_HeatAlarm                                      ,19   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_LightSW                                        ,4    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_NRES_CR_NC                                     ,2    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_NRES_Deadman                                   ,20   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_NRES_PWR_OK                                    ,13   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_PanelDoor                                      ,8    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_RedLink_CR_NC                                  ,10   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_RedLink_CR_NO                                  ,15   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_SmokeAlarm                                     ,18   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_SmokePWR_OK                                    ,17   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_Thermostat_CR_NC                               ,9    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_Thermostat_CR_NO                               ,14   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_ThermostatMCB                                  ,12   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_UPS_TVS                                        ,7    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DI_Utility_TVS                                    ,5    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,DO_AirCon_CR                                      ,0    ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,DO_CryoTig_CR                                     ,23   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,DO_DTreset                                        ,27   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,DO_ECB_Tx                                         ,24   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,DO_NRES_CR                                        ,22   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,DO_RedLink_CR                                     ,26   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,DO_Thermostat_CR                                  ,25   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,AI_CryoTig_Current                                ,2    ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_CryoTig_OutputPressure                         ,3    ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_CryoTig_ReturnPressure                         ,4    ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_CryoTig_Volt                                   ,0    ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_IglooStirFanM282_Tach                          ,12   ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_IglooStirFanM284_Tach                          ,13   ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_IglooStirFanM292_Tach                          ,14   ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_IglooStirFanM294_Tach                          ,15   ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_PanelFanM184_Tach                              ,7    ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_PanelFanM186_Tach                              ,8    ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_TentExhaustFanM306_Tach                        ,10   ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_TentExhaustFanM314_Tach                        ,20   ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_TentIntakeFanM304_Tach                         ,9    ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_TentIntakeFanM312_Tach                         ,19   ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_TentStirFanM323_Tach                           ,16   ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_TentStirFanM325_Tach                           ,17   ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AI_Utility_Volt                                   ,1    ,00000000,00000001,00000000,00000000,0    ,0   
TAG1,AO_PanelFans_CTRL                                 ,5    ,00000000,00000002,00000000,00000000,0    ,0   
TAG1,AO_StirFans_CTRL                                  ,6    ,00000000,00000002,00000000,00000000,0    ,0   
TAG1,AO_TentServoFan_Ctrl                              ,11   ,00000000,00000002,00000000,00000000,0    ,0   
TAG1,AO_TentStirFan_Ctrl                               ,18   ,00000000,00000002,00000000,00000000,0    ,0   
TAG1,AirCon_CR_ErrorFlag                               ,49   ,00000000,00000000,00000000,00000008,0    ,0   
TAG1,AirConOffFlag                                     ,43   ,00000000,00000000,00000000,00000008,0    ,0   
TAG1,CalcFanSpd                                        ,72   ,00000000,00000000,00000000,00000010,0    ,0   
TAG1,Count                                             ,93   ,00000000,00000000,00000000,00000008,0    ,0   
TAG1,Cryotig_CR_ErrorFlag                              ,52   ,00000000,00000000,00000000,00000008,0    ,0   
TAG1,CryoTigThermalTimer                               ,48   ,00000000,00000000,00000000,00000020,0    ,0   
